status,file,is_encrypted,can_copy,pages,text_pages,text_pages_ratio,max_image_coverage,avg_image_coverage,redaction_annots
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\biosecurity\biosec-poultry-farms.pdf,False,True,2,2,1.0,0.0,0.0,2
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\value_chain\Hatchery-Guide-Layout-R4-min.pdf,False,True,90,89,0.989,0.164,0.02,90
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\cobb\Broiler-Guide_English-2021-min.pdf,False,True,104,102,0.981,1.001,0.052,104
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\cobb\Breeder-Management-Guide.pdf,False,True,160,157,0.981,0.166,0.017,160
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\value_chain\6e3727d0-bbd7-11e6-bd5d-55bb08833e29.pdf,False,True,18,17,0.944,1.008,0.148,18
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\cobb\2022-Cobb500-Broiler-Performance-Nutrition-Supplement.pdf,False,True,16,15,0.938,0.552,0.035,16
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\cobb\Cobb500-Slow-Feather-Breeder-Management-Supplement.pdf,False,True,15,14,0.933,0.228,0.02,15
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\cobb\Cobb-Male-Supplement.pdf,False,True,28,25,0.893,0.608,0.063,28
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\cobb\Cobb-MX-Male-Supplement.pdf,False,True,28,25,0.893,0.608,0.063,28
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\cobb\Cobb500-Fast-Feather-Breeder-Management-Supplement.pdf,False,True,15,13,0.867,0.219,0.017,15
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\cobb\Post-Mortem-Guide-_Breeders-2025-English_7-2025_rs.pdf,False,True,70,58,0.829,0.124,0.02,70
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\ross_308_broiler\Aviagen_Ross_BroilerNutritionSupplement.pdf,False,True,20,0,0.0,0.218,0.006,20
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\housing\optimum-broiler-development.pdf,False,True,58,0,0.0,0.166,0.043,58
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\ross_308_broiler\Aviagen-ROSS-Broiler-Handbook-EN.pdf,False,True,144,0,0.0,0.159,0.008,144
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\ross_308_parentstock\Aviagen_Ross_PS_Handbook_2023_Interactive_EN.pdf,False,True,180,0,0.0,0.147,0.008,180
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\health\Gut-Health-on-the-Farm-Guide-EN.pdf,False,True,20,0,0.0,0.124,0.084,20
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\ross_308_broiler\Ross308FF-MgtSuppl2016EN (1).pdf,False,True,4,0,0.0,0.05,0.013,4
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\ross_308_parentstock\Ross308FF-MgtSuppl2016EN.pdf,False,True,4,0,0.0,0.05,0.013,4
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\ross_308_broiler\RossxRoss308-BroilerPerformanceObjectives2022-EN.pdf,False,True,16,0,0.0,0.004,0.0,16
RedactionAnnots,C:\intelia_gpt\documents\public\species\broiler\breeds\ross_308_broiler\Ross-BroilerNutritionSpecifications2022-EN.pdf,False,True,8,0,0.0,0.0,0.0,8
