line,sex,unit,age_days,weight_g,weight_lb,daily_gain_g,daily_gain_lb,avg_daily_gain_g,avg_daily_gain_lb,cum_fcr,daily_feed_intake_g,daily_feed_intake_lb,cum_feed_intake_g,cum_feed_intake_lb,source_doc
cobb500,as_hatched,metric,0,42.0,,,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,1,55.0,,13.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,2,71.0,,16.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,3,90.0,,19.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,4,112.0,,22.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,5,138.0,,26.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,6,168.0,,30.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,7,202.0,,34.0,,22.9,,,,,180.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,8,240.0,,38.0,,24.8,,,40.0,,220.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,9,283.0,,43.0,,26.8,,,44.0,,264.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,10,330.0,,47.0,,28.8,,,50.0,,314.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,11,382.0,,52.0,,30.9,,,57.0,,371.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,12,440.0,,58.0,,33.2,,,64.0,,435.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,13,503.0,,63.0,,35.5,,,73.0,,508.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,14,570.0,,67.0,,37.7,,,80.0,,588.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,15,639.0,,69.0,,39.8,,,84.0,,672.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,16,711.0,,72.0,,41.8,,,91.0,,763.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,17,786.0,,75.0,,43.8,,,98.0,,861.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,18,864.0,,78.0,,45.7,,,105.0,,966.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,19,945.0,,81.0,,47.5,,,111.0,,1077.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,20,1029.0,,84.0,,49.4,,,118.0,,1195.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,21,1116.0,,87.0,,51.1,,,125.0,,1320.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,22,1205.0,,89.0,,52.9,,,131.0,,1451.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,23,1296.0,,91.0,,54.5,,,137.0,,1588.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,24,1390.0,,94.0,,56.2,,,143.0,,1731.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,25,1486.0,,96.0,,57.8,,,149.0,,1880.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,26,1583.0,,97.0,,59.3,,,154.0,,2034.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,27,1682.0,,99.0,,60.7,,,160.0,,2194.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,28,1783.0,,101.0,,62.2,,,165.0,,2359.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,29,1886.0,,103.0,,63.6,,,169.0,,2528.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,30,1989.0,,103.0,,64.9,,,174.0,,2702.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,31,2094.0,,105.0,,66.2,,,178.0,,2880.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,32,2200.0,,106.0,,67.4,,,183.0,,3063.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,33,2306.0,,106.0,,68.6,,,187.0,,3250.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,34,2413.0,,107.0,,69.7,,,191.0,,3441.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,35,2521.0,,108.0,,70.8,,,194.0,,3635.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,36,2629.0,,108.0,,71.9,,,198.0,,3833.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,37,2738.0,,109.0,,72.9,,,202.0,,4035.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,38,2846.0,,108.0,,73.8,,,206.0,,4241.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,39,2954.0,,108.0,,74.7,,,209.0,,4450.0,,2022-Cobb500-Broiler-Performance.xlsx
