path,copy_restricted,redaction_annots,text_ratio,max_image_ratio
C:\intelia_gpt\documents\public\common\health\AviaTech_Staph.pdf,False,0,0.0070397122426102444,0.9
C:\intelia_gpt\documents\public\common\health\COCCIDIOSIS_CONTROL_Ken_Bafundo.pdf,False,0,0.00043895747599451303,0.30000000000000004
C:\intelia_gpt\documents\public\common\health\Deep-Pectoral-Myopathy-Canadian-Poultry-Consultants-20120809.pdf,False,0,0.0034392123852908167,0.4
C:\intelia_gpt\documents\public\common\health\Drinking-Water-Management.pdf,False,0,0.003792830263418499,0.1
C:\intelia_gpt\documents\public\common\health\TU COL ENG.pdf,False,0,0.004408050466088724,0.6000000000000001
C:\intelia_gpt\documents\public\common\health\TU EDS ENG.pdf,False,0,0.005145593906830215,0.2
C:\intelia_gpt\documents\public\common\health\TU FLY ENG.pdf,False,0,0.005220171346391157,0.7000000000000001
C:\intelia_gpt\documents\public\common\health\TU Full beak management ENG.pdf,False,0,0.0057796268545356145,0.4
C:\intelia_gpt\documents\public\common\health\TU HEAT ENG.pdf,False,0,0.006211876696539336,1.0
C:\intelia_gpt\documents\public\common\health\TU IBD ENG.pdf,False,0,0.007054676590440416,0.6000000000000001
C:\intelia_gpt\documents\public\common\health\TU LPAI ENG.pdf,False,0,0.006041770295935448,0.30000000000000004
C:\intelia_gpt\documents\public\common\health\TU MYCO ENG.pdf,False,0,0.0060142506387507524,0.30000000000000004
C:\intelia_gpt\documents\public\common\health\TU NEST ENG.pdf,False,0,0.0056172026784751285,0.6000000000000001
C:\intelia_gpt\documents\public\common\health\ascites.pdf,False,0,0.005671502607777118,0.0
C:\intelia_gpt\documents\public\common\health\fowl_cholera.pdf,False,0,0.004085998877665544,0.0
C:\intelia_gpt\documents\public\common\health\ilt.pdf,False,0,0.004383181187994022,0.0
C:\intelia_gpt\documents\public\common\health\infectious_bronchitis_virus_ibv.pdf,False,0,0.0045908430712352285,0.0
C:\intelia_gpt\documents\public\common\health\infectious_bursal_disease.pdf,False,0,0.004402097539352441,0.0
C:\intelia_gpt\documents\public\common\health\is2014.pdf,False,0,0.007827457582359544,0.1
C:\intelia_gpt\documents\public\common\health\skin_scratches.pdf,False,0,0.005236185383244207,0.2
C:\intelia_gpt\documents\public\common\health\understandingcoccidiosis.pdf,False,0,0.006524747946316574,0.0
