status,file,is_encrypted,can_copy,pages,text_pages,text_pages_ratio,max_image_coverage,avg_image_coverage,redaction_annots
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\hy_line_brown\Hyline Brown - Alternative - Performance Sell Sheet ENG.pdf,False,True,2,2,1.0,1.007,0.931,2
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\hy_line_brown\Hyline Brown ALT STD ENG.pdf,False,True,20,20,1.0,1.007,0.082,20
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\hy_line_brown\Hyline Brown Parent Stock ENG.pdf,False,True,40,40,1.0,1.007,0.064,40
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\hy_line_brown\Hyline Brown STD ENG.pdf,False,True,20,20,1.0,1.007,0.085,20
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\hy_line_w_36\Hyline W36 Parent Stock ENG.pdf,False,True,44,44,1.0,1.007,0.034,44
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\hy_line_w_36\Hyline W36- Conventional - Performance Sell Sheet ENG.pdf,False,True,2,2,1.0,1.007,0.271,2
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\hy_line_w_80\80 PS ENG.pdf,False,True,40,40,1.0,1.007,0.073,40
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\hy_line_w_80\80 STD ENG.pdf,False,True,20,20,1.0,1.007,0.085,20
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\hy_line_brown\Hyline Brown - Conventional - Performance Sell Sheet ENG.pdf,False,True,2,2,1.0,1.006,1.003,2
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\hy_line_w_36\Hyline W36 STD ENG.pdf,False,True,32,32,1.0,0.412,0.029,32
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\lohmann_lsl_classic\LOHMANN-LSL-Lite-Cage-1.pdf,False,True,48,48,1.0,0.363,0.023,48
RedactionAnnots,C:\intelia_gpt\documents\public\species\layer\breeds\lohmann_brown\LOHMANN-Brown-Classic-Cage.pdf,False,True,48,48,1.0,0.28,0.019,48
